SampleID	Library number	Library type	Library Name	Organism	Strain/Variety	Genome size [Mbp]	Requested no. of reads	Sequencing run condition	Analysis support	Comment	Template type	Concentration [ng/µl]	Conc. determined by	Volume [µl]	DNA/RNA dissolved in	Sample preparation protocol
G05	3989.AM	RNA library incl. polyA enrichment	Col0-FeCl3_Live_Day15_Rep2	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	218	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
H05	3989.AN	RNA library incl. polyA enrichment	f6h1-FeCl3_Live_Day15_Rep2	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	76	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
A06	3989.AO	RNA library incl. polyA enrichment	Col0-FeEDTA_HK_Day15_Rep3	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	311	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
B06	3989.AP	RNA library incl. polyA enrichment	f6h1-FeEDTA_HK_Day15_Rep3	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	231	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
C06	3989.AQ	RNA library incl. polyA enrichment	Col0-FeEDTA_Live_Day15_Rep3	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	111	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
D06	3989.AR	RNA library incl. polyA enrichment	f6h1-FeEDTA_Live_Day15_Rep3	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	1609	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
E06	3989.AS	RNA library incl. polyA enrichment	Col0-FeCl3_Live_Day15_Rep3	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	87	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
F06	3989.AT	RNA library incl. polyA enrichment	f6h1-FeCl3_HK_Day15_Rep3	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	60	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
G06	3989.AU	RNA library incl. polyA enrichment	Col0-FeCl3_HK_Day15_Rep3	Arabidopsis thaliana	Col0	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	193	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit
H06	3989.AV	RNA library incl. polyA enrichment	f6h1-FeCl3_Live_Day15_Rep3	Arabidopsis thaliana	f6h1	134.6	20000000	2 x 150 bp (paired end read)	Not requested		total RNA	70	spectrophotometry	45	Nuclease-free water	Qiagen Plant Rneasy kit


 
